Region.Name,Uncertainty.Bounds*,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5
Sub-Saharan Africa,Lower,175.0010555,173.4374344,171.8827797,170.3599572,169.5874299,166.8313442,163.4409159,160.5055113,157.0109045,152.4393829,147.6533336,142.5505208,137.2239923,131.8131245,126.5167633,121.3617983,116.467583,111.6038897,106.8943866,102.2991563,98.03795993,94.10190492,90.41801066,87.05285918,84.04548948,81.19246234,78.26190739,75.54924369,72.80651586,70.17680293
Sub-Saharan Africa,Median,178.457842,176.8456802,175.2429046,173.6289083,172.8135891,170.0076876,166.5301987,163.5074114,159.9803915,155.3804468,150.5337341,145.38867,139.9865985,134.5602868,129.2289,124.061044,119.1653578,114.3585405,109.7343733,105.2711774,101.213632,97.47619491,94.07807614,90.97854131,88.24862778,85.66965008,83.03045282,80.58485809,78.11800732,75.77197822
Sub-Saharan Africa,Upper,182.4586524,180.7318908,179.0584791,177.367237,176.4983242,173.7149163,170.2197471,167.1375342,163.5246675,158.820674,153.9464554,148.6742222,143.2024446,137.7514022,132.4115853,127.2186451,122.3505489,117.6632037,113.1879182,108.9588349,105.207683,101.8056688,98.76619882,96.16956785,93.9813607,92.11890742,90.27653295,88.6813569,87.18813764,85.86916554
West and Central Africa,Lower,190.1264052,188.6225268,187.0314445,185.5101153,183.7319356,181.4222942,178.6222239,175.5034329,171.7867897,167.6149991,163.0645609,158.2057789,153.1348529,147.9577144,142.8090362,137.7132424,132.7689618,128.0350773,123.5001909,119.2382156,115.0567955,111.2945487,107.7275883,104.1658451,100.9662722,97.71460193,94.30220516,90.81814059,87.46876935,83.87793104
West and Central Africa,Median,196.2358293,194.6058046,192.9551372,191.2251612,189.2912193,186.9389086,184.1100943,180.8146381,177.0242394,172.7196203,168.0464788,163.1149737,157.9401634,152.6877961,147.4538243,142.3735281,137.4578859,132.7919213,128.4699828,124.3875923,120.6338667,117.2069903,114.1207242,111.1976516,108.5888284,105.9800305,103.1720449,100.4216555,97.54065284,94.7214081
West and Central Africa,Upper,202.7188242,200.9408313,199.2465669,197.4181108,195.4741957,193.0279879,190.2085809,186.7094506,182.7607568,178.3003856,173.5194158,168.4645302,163.2622347,157.9088018,152.5615818,147.3951537,142.5015068,138.0143901,133.9412965,130.2073189,126.8959063,123.9242545,121.3381617,119.2657641,117.5823072,116.2483892,114.7896127,113.5813966,112.3325202,111.284243
Eastern and Southern Africa,Lower,158.1404753,156.5151467,154.9066493,153.3792063,153.6078052,150.3934453,146.2856754,143.5114159,140.1895514,135.2628206,130.2703993,124.9002696,119.2251563,113.5717346,108.1169752,102.77634,97.8371497,92.76506107,87.66444587,82.53553482,77.87314597,73.52282353,69.52510666,65.90672503,62.81832997,60.05362729,57.46756251,55.18468527,53.00417767,50.99894692
Eastern and Southern Africa,Median,161.9336393,160.2524725,158.6014633,157.0039531,157.1728558,153.8496821,149.6680105,146.8340063,143.4849652,138.5130314,133.4097548,127.9664528,122.2528989,116.5703972,111.061016,105.7238378,100.7643982,95.72079479,90.68510265,85.71782901,81.22537091,77.0364096,73.18401037,69.77547617,66.79993775,64.14791213,61.59823053,59.40159178,57.31366511,55.41968956
Eastern and Southern Africa,Upper,166.3319735,164.6418257,162.9752092,161.3600465,161.5232906,158.1083113,153.8433134,150.9543115,147.5402615,142.5299502,137.3150172,131.7885334,125.9916726,120.2379078,114.6950837,109.3427746,104.3575398,99.43829568,94.61623275,89.96985894,85.85729229,82.10057091,78.63486081,75.58474415,73.05901687,70.91836009,68.72247455,67.09114251,65.52678749,64.22850412
Middle East and North Africa,Lower,63.32218452,60.69292523,58.22220559,55.86970745,53.5851562,51.34758999,49.1471001,46.99855161,44.90375993,42.86797289,40.91596797,39.0302351,37.22872048,35.52170543,33.8881002,32.34160242,30.88565605,29.48114874,28.15589461,26.93866341,25.84314244,24.92149848,24.15195921,23.36918396,22.59456939,21.91933763,21.11267023,20.3658923,19.75450218,19.04603038
Middle East and North Africa,Median,64.8893088,62.21964398,59.71351979,57.32632778,54.99021246,52.70041644,50.47000863,48.30345138,46.18180987,44.12441348,42.1467526,40.22305015,38.39242311,36.65343766,35.00980571,33.44758698,31.9796078,30.59036276,29.27623709,28.08904433,27.07479686,26.25956876,25.61666702,24.98150631,24.38007952,23.88904541,23.28674048,22.73169919,22.32275601,21.79914681
Middle East and North Africa,Upper,66.73921378,64.0118765,61.46747312,59.01140583,56.61779762,54.24782427,51.96513374,49.76272333,47.59814778,45.52532429,43.50227744,41.56421491,39.71212986,37.96510275,36.28836391,34.71336262,33.25136276,31.88508743,30.60807169,29.47626311,28.54713554,27.86409409,27.4043851,26.98750151,26.64589307,26.51922513,26.24690294,26.04760505,26.09608988,26.0509454
South Asia,Lower,126.5003352,122.8807686,119.3323475,115.900804,112.4641109,108.9351382,105.3702592,101.7629184,98.08781287,94.40513686,90.75159779,87.19295678,83.74110979,80.48809124,77.44444674,74.2314588,71.22008748,68.30076862,65.43774174,62.62709573,59.8500815,57.11549514,54.4568657,51.82201639,49.2375757,46.68944938,44.21109162,41.78434186,39.43432596,37.17640184
